Antibody_name,donor,Pf_exposure,IGHV,IGHD,IGHJ,light,IGKV_IGLV,IGKJ_IGLJ,IGHC,cluster_id,IGHV_SHM,IGKV_IGLV_SHM,KQPA_AUC,NPDP_AUC,NVD_AUC,NANP_AUC,CCSP_AUC,Pf_inhibition
L1517x0075,D17,I,4-59,6-13,6,kappa,3-20,1,IGHG2,19,4,3,2.4,3.3,2.5,0.5,1.3,0
L1517x0618,D17,III,3-33,3-22,4,kappa,1-12,4,IGHM,0,7,3,1.6,1.5,1.9,0.5,1.3,47.8
L1517x0692,D17,III,3-33,1-1,4,kappa,4-1,1,IGHM,0,0,0,1.5,1.4,1.6,2.4,7.4,26.9
L1517x0622,D17,III,3-74,2-2,4,lambda,1-47,1,IGHM,0,8,6,1.3,1,1.2,1.7,0.8,45
L1426x0864,D26,III,3-7,7-27,4,kappa,2-30,2,IGHM,0,1,0,2,1.7,1.6,0.6,1.3,6.1
L1435x1741,D35,C,4-39,6-19,4,kappa,4-1,1,IGHG1,0,26,8,1.4,6.2,9.7,7.4,0.8,79
D0835x0465,D35,I,3-33,6-19,4,kappa,2-24,1,IGHM,0,6,0,2,2,2,7.9,8.1,59.3
L1435x2690,D35,III,3-30-3,1-26,4,kappa,3-11,1,IGHM,0,4,1,1.6,1.5,1.9,3.6,1.2,67
L1435x2867,D35,III,3-30-3,6-19,4,kappa,3-11,1,IGHM,0,2,0,1.5,2,6.2,4.9,1.1,67.7
L1435x2991,D35,III,3-33,3-22,4,kappa,3-20,2,IGHM,0,0,0,2.2,1.9,1.7,2.8,1.7,33.5
L1435x3008,D35,III,3-33,4-17,4,kappa,1-5,1,IGHM,0,0,0,1.9,1.9,3.1,6.8,1.6,54.6
L1542x1690,D42,III,3-33,1-7,4,kappa,2-24,1,IGHM,20,12,5,1.6,1.5,1.4,0.4,2.1,7.2
L1542x1837,D42,III,3-33,7-27,4,kappa,2-24,1,IGHM,19,9,7,1.9,1.7,1.5,0.5,2.6,7.2
L1542x1606,D42,III,3-30,1-26,4,lambda,2-14,2,IGHM,14,1,1,1.3,1.2,1.2,1.3,1.6,22.6
L1542x1769,D42,III,3-30,4/OR15-4a,3,kappa,3-15,2,IGHM,12,8,3,1.3,1.5,1.6,5,1.3,61.5
L1542x1811,D42,III,3-30,4/OR15-4a,3,kappa,3-15,2,IGHM,12,7,3,1.3,1.3,1.3,1.2,1.1,49
L1542x1238,D42,II,3-30,1-1,4,kappa,3-15,1,IGHM,11,7,6,2.5,2.7,6.8,3.3,1.8,62.4
L1542x1539,D42,III,3-30,1-1,4,kappa,3-15,1,IGHM,11,7,6,2.5,2.5,5,2.6,1.4,66.2
L1542x1773,D42,III,3-30,1-1,4,kappa,3-15,1,IGHM,11,7,6,3,3.1,5.9,1,2.1,48.1
L1542x1565,D42,III,3-30,2-8,4,kappa,3-15,1,IGHM,10,8,4,1.4,1.3,1.2,6.5,1.3,63.5
L1542x1633,D42,III,3-30,2-8,4,kappa,3-15,1,IGHM,10,8,4,1.3,1.3,1.2,6.9,1.8,67.4
L1542x1648,D42,III,3-30,2-8,4,kappa,3-15,1,IGHM,10,8,4,1.3,1.2,1.1,8.1,1.7,66.6
L1542x1671,D42,III,3-30,2-8,4,kappa,3-15,1,IGHM,10,8,4,1.8,1.7,1.5,6.3,1.5,46.9
L1542x1746,D42,III,3-30,2-8,4,kappa,3-15,1,IGHM,10,8,4,1.4,1.1,1.4,5.8,1.2,37.3
L1542x2133,D42,C,3-23,6-19,4,lambda,2-14,2,IGHM,7,11,6,1.4,2.6,2.1,0.4,1.8,57.4
L1542x2151,D42,C,3-33,6-19,4,kappa,1-5,4,IGHM,0,0,1,1.6,1.9,2.4,9.7,1.2,73.2
L1542x2159,D42,C,3-33,1-26,4,kappa,3-11,2,IGHM,0,0,0,1.6,1.6,1.8,2.8,1.3,57.7
L1542x2207,D42,C,3-33,3-16,3,kappa,1-5,1,IGHM,0,3,3,2,4.4,11.8,12.6,1.5,94.3
L1542x1955,D42,C,3-33,6-19,2,lambda,1-40,1,IGHM,0,1,0,2,2.1,8.4,12.7,1.5,87.2
L1542x1369,D42,II,3-30-3,1-26,3,kappa,3-15,1,IGHM,0,2,0,1.5,1.6,1.6,0.4,1.1,29.6
L1542x1571,D42,III,3-33,6-13,4,kappa,4-1,1,IGHM,0,0,0,1.9,1.6,1.7,8.9,4.2,44.2
L1542x1578,D42,III,3-33,1-1,6,kappa,1-5,2,IGHM,0,0,0,2,2.4,5.9,11.3,1.7,69.7
L1542x1601,D42,III,3-33,2-2,5,kappa,1-5,4,IGHM,0,0,0,1.4,1.3,1.3,0.5,0.9,23.8
L1542x1616,D42,III,3-33,6-19,4,kappa,4-1,1,IGHM,0,0,3,1.5,1.3,1.2,4.3,2.9,49.3
L1542x1744,D42,III,3-49,4-17,4,kappa,2D-29,2,IGHM,0,1,0,8.9,2.1,2.6,12.9,1.2,93.3
L1542x1755,D42,III,3-30,2-15,3,kappa,3-15,1,IGHM,0,8,1,1.9,2,2.4,1.6,1,48.5
L1542x1762,D42,III,3-33,3/OR15-3a,4,kappa,4-1,1,IGHM,0,8,6,1.5,1.2,1.3,1.6,11.2,17.7
L1542x1777,D42,III,3-30,2-15,5,kappa,3-11,2,IGHM,0,1,0,1.7,1.6,2.3,4.5,1.1,56.2
L1542x1914,D42,III,3-33,6-13,3,kappa,3-15,1,IGHM,0,4,0,1.8,1.6,1.5,0.4,3.6,6.3
D0751x0500,D51,II,4-39,6-19,3,lambda,1-40,1,IGHM,16,8,3,7.8,4.4,5.7,0.4,1.6,62.5
D0851x1758,D51,II,1-3,6-13,4,lambda,1-47,3,IGHM,2,16,6,1.4,1.6,1.8,0.4,1,46.2
D0751x0322,D51,III,1-3,6-13,4,lambda,1-47,3,IGHM,2,18,7,1.4,2.4,2.4,0.3,0.9,46.4
D0851x1742,D51,III,1-3,6-13,4,lambda,1-47,3,IGHM,2,18,7,1.5,1.9,1.7,0.4,1.1,48.9
D0851x1710,D51,III,3-21,6-13,5,lambda,3-1,2,IGHG1,0,1,2,1.7,1.5,1.3,0.4,12,1.1
L1471x4237,D71,C,4-4,2-15,6,kappa,3-20,2,IGHM,57,1,2,1.3,1.4,1.2,0.5,10.8,9.3
L1471x3919,D71,III,4-4,2-15,6,kappa,3-20,2,IGHM,57,1,2,1.7,1.6,1.4,0.5,10.9,7.6
L1471x3710,D71,II,3-7,3-3,3,lambda,1-51,2,IGHM,42,7,2,1.8,1.9,1.7,8.1,1.2,71.6
L1471x4112,D71,III,3-7,3-3,3,lambda,1-51,2,IGHM,42,7,3,2,2,2.1,7.5,1.1,69.4
L1471x4493,D71,C,3-49,6-13,4,kappa,3-20,1,IGHG1,38,5,1,10.5,11.9,11.6,11.4,4.1,100
L1471x4560,D71,C,3-49,6-13,4,kappa,3-20,1,IGHM,38,6,3,3,5.5,11.3,11.4,2.8,94.1
L1471x4142,D71,III,3-49,6-13,4,kappa,3-20,1,IGHM,38,1,0,3.2,2.7,10.7,13.5,2.3,99.7
L1471x4353,D71,C,3-48,4-23,3,kappa,1-17,4,IGHM,36,10,1,2.7,2.8,2.3,5.6,1.7,96.8
L1471x4041,D71,III,3-48,4-23,3,kappa,1-17,4,IGHG1,36,10,1,3.2,3,2.7,3.1,1.8,90.9
L1471x4055,D71,III,3-48,4-23,3,kappa,1-17,4,IGHA1,36,12,6,1.5,1.6,1.4,0.7,1.6,84.4
L1471x4476,D71,C,3-33,4-11,4,kappa,3-20,1,IGHG1,34,1,2,1.6,9.1,12.3,13.1,9.4,100
L1471x3945,D71,III,3-33,4-11,4,kappa,3-20,1,IGHM,34,2,0,2.5,7,11.2,12,10,100
L1471x4092,D71,III,3-33,4-11,4,kappa,3-20,1,IGHM,34,0,0,2.1,5.7,12.4,13.5,8.4,100
L1471x3246,D71,II,3-33,4-11,6,kappa,3-20,2,IGHM,33,5,1,1.6,1.7,2.6,10.3,10.6,74
L1471x3374,D71,II,3-33,4-11,6,kappa,3-20,2,IGHM,33,5,1,1.1,1,1.7,9.9,10.8,72.5
L1471x3639,D71,II,3-33,4-11,6,kappa,3-20,2,IGHM,33,8,1,2,2.2,5.6,11.4,10.3,71.9
L1471x3767,D71,II,3-33,4-11,6,kappa,3-20,2,IGHM,33,14,5,1.4,1.3,1.7,10,11.2,83.5
L1471x3768,D71,II,3-33,4-11,6,kappa,3-20,2,IGHM,33,8,3,1.3,1.4,1.6,8.8,10.8,85.4
L1471x3896,D71,III,3-33,4-11,6,kappa,3-20,2,IGHM,33,7,5,1.7,1.8,5.1,11.7,10.6,100
L1471x3960,D71,III,3-33,4-11,6,kappa,3-20,2,IGHM,33,10,3,1.7,2.6,9.2,11.9,10.5,100
