ENSEMBL,ENTREZID,SYMBOL,DZQV_CD8_naive,X925L_CD8_naive,X9JD4_CD8_naive,G4YW_CD8_naive,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000223972,100287102,DDX11L1,0.214321,0,0.599302,0,0,0,0.212431,0
ENSG00000278267,102466751,MIR6859-1,0,0,2.12513,0,0,3.11599,0,1.67039
ENSG00000284332,100302278,MIR1302-2,0,0,0,0,0,0,0,0
ENSG00000237613,645520,FAM138A,0,0.993344,8.11297,3.33459,5.29399,5.76053,7.05871,4.03599
ENSG00000186092,79501,OR4F5,0,0,0,0,0,0,0,0
ENSG00000238009,100996442,LOC100996442,2.46853,1.59611,1.08626,2.10823,2.14518,3.77216,1.99324,2.80055
ENSG00000273874,102465909,MIR6859-2,0,0,2.12513,0,0,3.11599,0,1.67039
ENSG00000230021,101928626,LOC101928626,5.17465,9.295315,3.927067,4.02772,6.963245,5.694487,4.291729,4.79075
ENSG00000237491,105378580,LINC01409,42.681021,57.894775,43.502793,30.643248,20.813233,54.562024,58.64855455,50.190294
ENSG00000177757,400728,FAM87B,0.710575,0.318908,1.39212,1.96575,1.14906,2.60501,0.0867379,1.11437
ENSG00000228794,643837,LINC01128,41.294085,52.85373343,42.426738,26.92479,14.836847,22.056731,19.446777,7.789636
ENSG00000225880,79854,LINC00115,1.36646,4.55994,4.83493,4.49353,5.51,4.02928,3.45127,4.71513
ENSG00000230368,284593,FAM41C,0.131951,0.22503,0.146494,0.380713,1.16139,0.658294,1.315695,0.669311
ENSG00000223764,100130417,LINC02593,0,0,0,0,0,0,0,0
ENSG00000187634,148398,SAMD11,0,0.576656,0,0.188291,0,0.0641031,0.131155,0.482524
ENSG00000188976,26155,NOC2L,52.06864,80.14419,51.9653,55.744872,58.70276,62.45122,48.04521,42.1266072
ENSG00000187961,339451,KLHL17,3.705046,4.10072,1.51438,2.764961,1.981126952,0.363649,3.470748,2.628415
ENSG00000187583,84069,PLEKHN1,0,0,0.517528,0.19212,0,0.0488486,0,0.0536976
ENSG00000187642,84808,PERM1,0,0,0,0,0,0,0,0
ENSG00000188290,57801,HES4,0,0,0,0,0,0,0,0
ENSG00000187608,9636,ISG15,7.37667,12.1541,9.57789,17.54910001,22.6211,6.70873,6.8688,12.91135
