ENSEMBL,ENTREZID,SYMBOL,DZQV_Plasmablasts,X925L_Plasmablasts,X9JD4_Plasmablasts,G4YW_Plasmablasts,DZQV_B_naive,X925L_B_naive,X9JD4_B_naive,G4YW_B_naive
ENSG00000223972,100287102,DDX11L1,0.00174245,0.208931,0.284437,0.436147,0,0,0.212431,0
ENSG00000278267,102466751,MIR6859-1,0,0.81659,0,0,0,3.11599,0,1.67039
ENSG00000284332,100302278,MIR1302-2,0,0,0,0,0,0,0,0
ENSG00000237613,645520,FAM138A,0.759561,0.764568,0.639669,2.02722,5.29399,5.76053,7.05871,4.03599
ENSG00000186092,79501,OR4F5,0,0,0,0,0,0,0,0
ENSG00000238009,100996442,LOC100996442,0.346874,0.139873,0.0438376,0.508941,2.14518,3.77216,1.99324,2.80055
ENSG00000273874,102465909,MIR6859-2,0,0.81659,0,0,0,3.11599,0,1.67039
ENSG00000230021,101928626,LOC101928626,0.3177085,0.2511541,0.7606423,0.113284,6.963245,5.694487,4.291729,4.79075
ENSG00000237491,105378580,LINC01409,7.5992423,13.82374,12.85063,14.576925,20.813233,54.562024,58.64855455,50.190294
ENSG00000177757,400728,FAM87B,0.157184,0.065024,0.175766,0.0409003,1.14906,2.60501,0.0867379,1.11437
ENSG00000228794,643837,LINC01128,9.348233,3.431004888,4.812294,5.5524824,14.836847,22.056731,19.446777,7.789636
ENSG00000225880,79854,LINC00115,0.905201,0.960377,0.410717,1.0415,5.51,4.02928,3.45127,4.71513
ENSG00000230368,284593,FAM41C,0,0,0,0,1.16139,0.658294,1.315695,0.669311
ENSG00000223764,100130417,LINC02593,0,0,0,0,0,0,0,0
ENSG00000187634,148398,SAMD11,0,0.033295701,0,0,0,0.0641031,0.131155,0.482524
ENSG00000188976,26155,NOC2L,31.94887,19.919913,27.70445,20.869439,58.70276,62.45122,48.04521,42.1266072
ENSG00000187961,339451,KLHL17,0.689557,1.1494242,1.826932,1.6739352,1.981126952,0.363649,3.470748,2.628415
ENSG00000187583,84069,PLEKHN1,1.340941,1.351621,1.547483,1.725539,0,0.0488486,0,0.0536976
ENSG00000187642,84808,PERM1,0.335293,0.1680987,0.0485865,0.113825,0,0,0,0
ENSG00000188290,57801,HES4,0,0,0,0,0,0,0,0
ENSG00000187608,9636,ISG15,36.801495,6.28242,16.8602,20.0171,22.6211,6.70873,6.8688,12.91135
ENSG00000188157,375790,AGRN,0,0.150707,0.538861515,0.0177037,1.3991032,0.586731223,0.690867753,2.082735616
ENSG00000217801,100288175,LOC100288175,2.2366665,1.0332321,1.57751,1.731868,14.33633031,13.59263489,19.298685,17.98552
ENSG00000237330,401934,RNF223,0.0561707,0.0299211,0.0570524,0.0340608,0.0656455,0.173797,0.328136,0.388431
ENSG00000131591,54991,C1orf159,6.2573118,2.7039883,5.004825484,4.9417339,7.210266,16.601936,17.260622,12.721535
ENSG00000223823,254099,LINC01342,0,0.251602,0,0,0,0.551418,0.141562,0
ENSG00000207730,406984,MIR200B,0,0,0,0,0,0,0,0
ENSG00000207607,406983,MIR200A,0,0,0,0,0,0,0,0
ENSG00000198976,554210,MIR429,0,0,0,0,0,0,0,0
ENSG00000205231,100506376,TTLL10-AS1,0.0280864,0,0,0.0564945,0.0367111,0.0972378,0.133843,0.142364
ENSG00000162571,254173,TTLL10,0.385041,0.257289509,0.162776,0.124704,0.877563,1.65393,1.297936835,2.55325
ENSG00000186891,8784,TNFRSF18,6.943423,1.251207,3.478907,1.662657,11.99031,6.365333,4.3297,7.69447
ENSG00000186827,7293,TNFRSF4,0.692606,0.2972488,0.4130993,0,0,0.113983,0,0
ENSG00000078808,51150,SDF4,99.7465587,59.4130426,67.5501543,4.4799393,3.09191,44.629601,47.15489288,46.53937
ENSG00000176022,126792,B3GALT6,0.765211,0.707552,0.281041,0.0438432,0.12805,0.867,2.20816,1.49083
ENSG00000184163,388581,C1QTNF12,0.402491,0,0.3187126,0.0689833,0,0,0,0.387489
ENSG00000160087,118424,UBE2J2,31.242253,22.618827,19.337661,21.21292114,47.77377,23.93174,54.13786,62.646128
ENSG00000162572,6339,SCNN1D,0,0,0.5469582,0.320597,2.43952,1.788819,3.054664,3.877386
ENSG00000131584,116983,ACAP3,7.8306634,11.808134,4.322636,1.0973966,0.447571,19.747789,6.369536,7.208746
ENSG00000278073,102465434,MIR6726,0,0,0,0,0,0,0,0
ENSG00000169972,126789,PUSL1,6.4816247,4.658532,7.292053,4.719787,8.77063,2.851208,8.951244,8.291424
ENSG00000127054,54973,INTS11,39.73581108,36.7088657,45.8761779,37.84017373,69.899122,58.046858,77.28713734,72.92749582
ENSG00000283712,102465435,MIR6727,0,0,0,0,0,4.19043,0,0
ENSG00000224051,80772,CPTP,4.83445,6.664653,6.44689,2.12939,1.663,1.66423,2.71564,2.85178
ENSG00000169962,83756,TAS1R3,0.713125,5.73858,4.66586,2.63326,0.577238,0,0.493238,0.461069
ENSG00000107404,1855,DVL1,0.641503,0.613711,0.6688827,0.109533,0.906392,2.8862338,2.340127,2.691611
ENSG00000284372,102466740,MIR6808,0,0,0,0,0,0,0,0
ENSG00000162576,54587,MXRA8,0,0.0806627,0.0764103,0,0,0,0.1269613,0
ENSG00000175756,54998,AURKAIP1,14.576129,14.744564,13.553993,13.670994,18.287148,16.209335,18.477116,25.39287
ENSG00000221978,81669,CCNL2,59.474846,47.89280506,60.838491,28.502347,138.435842,259.666182,201.58568,199.758756
ENSG00000224870,148413,MRPL20-AS1,9.414321,8.783637024,9.50597,13.12244,21.78836,15.0469272,33.82067,39.84156
ENSG00000242485,55052,MRPL20,17.880303,18.86066,19.490745,14.6428429,35.43067,26.952776,25.2915,39.87032
ENSG00000235098,441869,ANKRD65,0.0370156,0,0,0,0,0.214138,0.146849,0
ENSG00000205116,643965,TMEM88B,0,0,0,0,0,0,0,0
ENSG00000179403,64856,VWA1,0,0,0,0,0,0,0,0
ENSG00000215915,219293,ATAD3C,3.817677,8.213995,4.249684,7.596318,1.173867,1.427,1.46443,0.995394
ENSG00000160072,83858,ATAD3B,5.332612,4.050568,4.054816,2.573656,6.989508,10.53286,8.565477,10.0589
ENSG00000197785,55210,ATAD3A,5.139438,6.434727,7.856697224,3.249159,4.694838,6.33093002,5.06743,8.04446
ENSG00000205090,339453,TMEM240,0,0,0,0,0,0,0,0
ENSG00000160075,29101,SSU72,42.819387,36.897373,27.515697,15.49204,38.93459,64.11816,61.572276,88.096871
ENSG00000228594,643988,FNDC10,0,0,0,0,0.117125,0,0,0.397957
ENSG00000197530,142678,MIB2,2.236444449,2.9271015,0.908299882,0.4015492,2.863172013,6.5823919,3.862921,3.0604253
ENSG00000189409,8510,MMP23B,0,0,0,0,2.453529,0,1.22129,0.469528
ENSG00000248333,984,CDK11B,3.9478102,5.6785586,6.4920518,6.568516,5.514267,18.651445,14.515719,18.170569
